MARÍA, MUJER, RUBIO, MARRON, ALTA, ESPAÑOLA, PROFESOR, SOLTERO, SI, SI, NO
ANDRÉS, HOMBRE, CASTAÑO, MARRON, ALTA, ESPAÑOLA, INFORMATICO, SOLTERO, NO, SI, SI
MICHAEL, HOMBRE, RUBIO, VERDE, BAJA, INGLESA, BOMBERO, CASADO, SI, NO, NO
SANDRA, MUJER, PELIRROJO, AZUL, BAJA, ITALIANA, CAMARERO, SOLTERO, NO, NO, NO
RAÚL, HOMBRE, CASTAÑO, VERDE, ALTA, ESPAÑOLA, INFORMATICO, CASADO, SI, NO, NO
MARCOS, HOMBRE, MORENO, MARRON, BAJA, ESPAÑOLA, MUSICO, CASADO, SI, SI, SI
LUCÍA, MUJER, MORENO, VERDE, BAJA, PARAGUAYA, COCINERO, SOLTERO, NO, SI, NO
CRISTINA, MUJER, RUBIO, AZUL, ALTA, ESPAÑOLA, OCULISTA, CASADO, SI, NO, NO
DAMIÁN, HOMBRE, CASTAÑO, VERDE, ALTA, ESPAÑOLA, ECONOMISTA, SOLTERO, NO, SI, SI
SOFÍA, MUJER, RUBIO, AZUL, ALTA, PARAGUAYA, CAMARERO, SOLTERO, SI, SI, NO
ADRIÁN, HOMBRE, RUBIO, VERDE, BAJA, ITALIANA, BOMBERO, CASADO, SI, SI, SI
JOEL, HOMBRE, CASTAÑO, VERDE, ALTA, CANADIENSE, MUSICO, SOLTERO, NO, NO, NO
OLIVIA, MUJER, RUBIO, MARRON, ALTA, INGLESA, PROFESOR, CASADO, SI, SI, NO
SILVIA, MUJER, PELIRROJO, VERDE, BAJA, FRANCESA, CAMARERO, CASADO, NO, NO, NO
PABLO, HOMBRE, MORENO, MARRON, ALTA, ESPAÑOLA, MUSICO, SOLTERO, NO, SI, SI
KEVIN, HOMBRE, CASTAÑO, AZUL, ALTA, CANADIENSE, ECONOMISTA, CASADO, SI, NO, SI
MARTA, MUJER, MORENO, MARRON, BAJA, ESPAÑOLA, PROFESOR, CASADO, SI, SI, NO
ELISABETH, MUJER, RUBIO, AZUL, ALTA, FRANCESA, OCULISTA, SOLTERO, NO, NO, NO
LAURA, MUJER, CASTAÑO, VERDE, BAJA, ESPAÑOLA, COCINERO, CASADO, SI, NO, NO
MÓNICA, MUJER, PELIRROJO, VERDE, BAJA, INGLESA, OCULISTA, SOLTERO, NO, NO, NO
